alpha,r_star,epsilon_star,V_min,topology,converged
-1.0,1.9999999622728648,-5.163501605008873e-09,-421.1031211131452,S3,True
-0.99,1.9999998412185682,-9.191940200986381e-09,-421.1031211131367,S3,True
-0.98,2.000000019711843,-4.2852664004499736e-09,-421.10312111314556,S3,True
-0.97,1.9999999162549857,-8.892366068209302e-09,-421.10312111314266,S3,True
-0.96,2.0000000388443953,-8.790369912007789e-09,-421.10312111314437,S3,True
-0.95,2.000000002889964,-3.2448290276086306e-09,-421.1031211131458,S3,True
-0.94,1.9999999901107295,-3.4510190155848686e-09,-421.10312111314585,S3,True
-0.93,1.9999999999802378,-2.527673806481668e-09,-421.10312111314585,S3,True
-0.92,2.0000000060945378,2.6974510780251637e-09,-421.1031211131461,S3,True
-0.91,1.9999999770816985,8.473270754510955e-09,-421.10312111314505,S3,True
-0.9,2.0000000149934842,-1.305988272087829e-09,-421.10312111314573,S3,True
-0.89,2.000000003412621,-3.625745373076122e-10,-421.1031211131459,S3,True
-0.88,1.9999999903743162,-3.2238202424855863e-10,-421.10312111314585,S3,True
-0.87,1.9999999607535988,-2.2486620654757533e-11,-421.1031211131454,S3,True
-0.86,1.999999958432871,1.004305610259321e-10,-421.1031211131454,S3,True
-0.85,2.000000027686273,3.634091921069957e-10,-421.1031211131457,S3,True
-0.84,1.999999986924449,7.116002305709625e-10,-421.1031211131459,S3,True
-0.83,1.9999999766111336,1.0921419601344271e-09,-421.10312111314573,S3,True
-0.82,2.0000000079837736,2.0188762529214307e-09,-421.10312111314596,S3,True
-0.81,2.0000000142496153,4.4228340494847163e-10,-421.10312111314613,S3,True
-0.8,1.9999999806752016,1.1893941002153778e-09,-421.10312111314613,S3,True
-0.79,2.0000000075799584,1.8983667704346716e-09,-421.1031211131459,S3,True
-0.78,2.000000017352484,1.3981307547264255e-09,-421.1031211131458,S3,True
-0.77,1.9999999912346964,3.994151373906754e-09,-421.10312111314573,S3,True
-0.76,1.999999976825951,2.2552072174556972e-09,-421.1031211131458,S3,True
-0.75,1.9999999826004204,3.0083148255171957e-09,-421.10312111314585,S3,True
-0.74,1.9999999251019969,2.516439649369443e-09,-421.1031211131441,S3,True
-0.73,1.999999986076859,-3.546217236105766e-09,-421.1031211131457,S3,True
-0.72,1.999999969745971,-5.928118361296158e-09,-421.1031211131453,S3,True
-0.71,2.0000000225512573,-4.452285878086077e-09,-421.1031211131459,S3,True
-0.7,2.000000043082869,6.927351598374722e-09,-421.1031211131447,S3,True
-0.69,1.999999968694884,4.056185973287658e-09,-421.1031211131455,S3,True
-0.68,2.00000000186201,5.640159758269067e-10,-421.103121113146,S3,True
-0.67,1.9999999981364285,-6.78975193240526e-09,-421.10312111314545,S3,True
-0.66,1.9999999880758141,-8.394847282317581e-09,-421.1031211131452,S3,True
-0.65,1.999999959914518,-9.319603684159473e-09,-421.10312111314477,S3,True
-0.64,2.000000048249552,-4.034746680697462e-09,-421.103121113145,S3,True
-0.63,2.000000095881889,-2.829594401786759e-09,-421.1031211131429,S3,True
-0.62,1.999999981401642,-4.146466822820412e-09,-421.1031211131457,S3,True
-0.61,2.0000000629256327,-4.342744909280471e-09,-421.10312111314454,S3,True
-0.6,2.0000000050701265,-6.086676404249878e-09,-421.10312111314573,S3,True
-0.59,1.9999999955921732,-6.304320646242066e-09,-421.1031211131455,S3,True
-0.58,1.9999999956176158,-5.1117355559894665e-09,-421.10312111314573,S3,True
-0.57,1.9999999712425405,-6.598754508677196e-09,-421.1031211131454,S3,True
-0.56,2.000000021621392,-1.1103353142271863e-09,-421.10312111314585,S3,True
-0.55,2.0000000943024467,-6.915175598634533e-09,-421.1031211131426,S3,True
-0.54,2.0000000743810213,2.956932450296965e-09,-421.1031211131441,S3,True
-0.53,1.9999999261160282,-8.36896390999258e-09,-421.1031211131438,S3,True
-0.52,1.9999999641700126,-4.829441032893998e-09,-421.10312111314533,S3,True
-0.51,1.9999999977590057,-3.021947660192916e-09,-421.1031211131459,S3,True
-0.5,1.9999999742938555,-4.537888014829563e-09,-421.10312111314556,S3,True
-0.49,2.0000000007563288,-6.4511721724043825e-09,-421.1031211131456,S3,True
-0.48,2.0000000124926633,-5.208242895154431e-09,-421.1031211131459,S3,True
-0.47,1.9999999864581177,-9.01707423894228e-09,-421.10312111314533,S3,True
-0.46,1.9999999801427248,-5.018562536386366e-09,-421.10312111314573,S3,True
-0.45,1.9999999664147852,-5.477771606889143e-09,-421.1031211131456,S3,True
-0.44,2.000000003169013,-3.9593101733699456e-09,-421.1031211131458,S3,True
-0.43,2.000000003000891,-1.7436888799314617e-09,-421.1031211131459,S3,True
-0.42,1.9999999982401984,-4.832604971345823e-09,-421.10312111314596,S3,True
-0.41,2.000000008114714,-5.452573721250291e-09,-421.1031211131459,S3,True
-0.4,2.000000001421895,-2.455812562361888e-09,-421.103121113146,S3,True
-0.39,1.9999999801035517,-3.5588803901350115e-09,-421.1031211131458,S3,True
-0.38,2.000000005911329,2.378154138505371e-11,-421.1031211131459,S3,True
-0.37,1.999999984262792,-7.27628682855627e-10,-421.1031211131459,S3,True
-0.36,2.000000021340211,-1.6545957021009907e-09,-421.1031211131459,S3,True
-0.35,1.999999978277287,3.543424878878802e-09,-421.1031211131457,S3,True
-0.34,1.999999985076551,-5.277665981618706e-10,-421.103121113146,S3,True
-0.33,2.0000000024017397,-1.8531101103768952e-09,-421.10312111314585,S3,True
-0.32,2.000000020854781,-1.6698869077400942e-09,-421.10312111314585,S3,True
-0.31,1.9999999851209955,-3.232840683356344e-09,-421.1031211131458,S3,True
-0.3,1.999999987946456,-1.544607239988315e-09,-421.1031211131459,S3,True
-0.29,2.000000008445281,-4.52736250453916e-09,-421.10312111314585,S3,True
-0.28,1.999999926228766,1.3099806117091442e-08,-421.10312111314346,S3,True
-0.27,1.999999985219936,-2.845219131634297e-09,-421.1031211131458,S3,True
-0.26,1.9999999627148188,-1.0736613317491174e-08,-421.1031211131449,S3,True
-0.25,2.000000019668901,-2.2110972095480766e-09,-421.10312111314585,S3,True
-0.24,1.99999998698772,-2.8253690090198936e-09,-421.10312111314573,S3,True
-0.23,2.0000000473193538,-6.634748812001483e-10,-421.10312111314545,S3,True
-0.22,1.9999999037146017,2.7564253087025633e-08,-421.10312111314045,S3,True
-0.21,2.0000000171990107,-6.174560760533249e-09,-421.1031211131458,S3,True
-0.2,1.9999999967157687,-1.1317002396985154e-08,-421.10312111314545,S3,True
-0.19,2.0000000363094026,-5.56774480181032e-09,-421.1031211131453,S3,True
-0.18,1.9999999498553827,2.950422328303832e-08,-421.1031211131425,S3,True
-0.17,1.99999996292134,3.183291573045048e-08,-421.1031211131425,S3,True
-0.16,2.000000078052935,3.3255193964462155e-09,-421.10312111314425,S3,True
