topology,ny_variant,V,eta,theta,r0,delta_V,stability_type
S3,FULL,0.0,-5.0,0.0,,,type-III
S3,FULL,0.0,-5.0,1.0,,,type-III
S3,FULL,0.0,-5.0,2.0,,,type-III
S3,FULL,0.0,-5.0,3.0,,,type-III
S3,FULL,0.0,-5.0,4.0,,,type-III
S3,FULL,0.0,-5.0,5.0,,,type-III
S3,FULL,0.0,-4.0,0.0,,,type-III
S3,FULL,0.0,-4.0,1.0,,,type-III
S3,FULL,0.0,-4.0,2.0,,,type-III
S3,FULL,0.0,-4.0,3.0,,,type-III
S3,FULL,0.0,-4.0,4.0,,,type-III
S3,FULL,0.0,-4.0,5.0,,,type-III
S3,FULL,0.0,-3.0,0.0,,,type-III
S3,FULL,0.0,-3.0,1.0,,,type-III
S3,FULL,0.0,-3.0,2.0,,,type-III
S3,FULL,0.0,-3.0,3.0,,,type-III
S3,FULL,0.0,-3.0,4.0,,,type-III
S3,FULL,0.0,-3.0,5.0,,,type-III
S3,FULL,0.0,-2.0,0.0,,,type-III
S3,FULL,0.0,-2.0,1.0,,,type-III
S3,FULL,0.0,-2.0,2.0,,,type-III
S3,FULL,0.0,-2.0,3.0,,,type-III
S3,FULL,0.0,-2.0,4.0,,,type-III
S3,FULL,0.0,-2.0,5.0,,,type-III
S3,FULL,0.0,-1.0,0.0,,,type-III
S3,FULL,0.0,-1.0,1.0,,,type-III
S3,FULL,0.0,-1.0,2.0,,,type-III
S3,FULL,0.0,-1.0,3.0,,,type-III
S3,FULL,0.0,-1.0,4.0,,,type-III
S3,FULL,0.0,-1.0,5.0,,,type-III
S3,FULL,0.0,0.0,0.0,,,type-III
S3,FULL,0.0,0.0,1.0,,,type-III
S3,FULL,0.0,0.0,2.0,,,type-III
S3,FULL,0.0,0.0,3.0,,,type-III
S3,FULL,0.0,0.0,4.0,,,type-III
S3,FULL,0.0,0.0,5.0,,,type-III
S3,FULL,0.0,1.0,0.0,,,type-III
S3,FULL,0.0,1.0,1.0,,,type-III
S3,FULL,0.0,1.0,2.0,,,type-III
S3,FULL,0.0,1.0,3.0,,,type-III
S3,FULL,0.0,1.0,4.0,,,type-III
S3,FULL,0.0,1.0,5.0,,,type-III
S3,FULL,0.0,2.0,0.0,,,type-III
S3,FULL,0.0,2.0,1.0,,,type-III
S3,FULL,0.0,2.0,2.0,,,type-III
S3,FULL,0.0,2.0,3.0,,,type-III
S3,FULL,0.0,2.0,4.0,,,type-III
S3,FULL,0.0,2.0,5.0,,,type-III
S3,FULL,0.0,3.0,0.0,,,type-III
S3,FULL,0.0,3.0,1.0,,,type-III
S3,FULL,0.0,3.0,2.0,,,type-III
S3,FULL,0.0,3.0,3.0,,,type-III
S3,FULL,0.0,3.0,4.0,,,type-III
S3,FULL,0.0,3.0,5.0,,,type-III
S3,FULL,0.0,4.0,0.0,,,type-III
S3,FULL,0.0,4.0,1.0,,,type-III
S3,FULL,0.0,4.0,2.0,,,type-III
S3,FULL,0.0,4.0,3.0,,,type-III
S3,FULL,0.0,4.0,4.0,,,type-III
S3,FULL,0.0,4.0,5.0,,,type-III
S3,FULL,0.0,5.0,0.0,,,type-III
S3,FULL,0.0,5.0,1.0,,,type-III
S3,FULL,0.0,5.0,2.0,,,type-III
S3,FULL,0.0,5.0,3.0,,,type-III
S3,FULL,0.0,5.0,4.0,,,type-III
S3,FULL,0.0,5.0,5.0,,,type-III
S3,FULL,1.0,-5.0,0.0,3.0000009997724213,353.52923622669783,type-II
S3,FULL,1.0,-5.0,1.0,36.24828915308844,159907.8841026652,type-II
S3,FULL,1.0,-5.0,2.0,72.12478332135672,1240736.9513736358,type-II
S3,FULL,1.0,-5.0,3.0,108.08326915878011,4163478.3926767856,type-II
S3,FULL,1.0,-5.0,4.0,144.06247486591312,9849079.255337711,type-II
S3,FULL,1.0,-5.0,5.0,180.0499861073888,19218490.960302003,type-II
S3,FULL,1.0,-4.0,0.0,3.4641018496299387,544.6603022688204,type-II
S3,FULL,1.0,-4.0,1.0,32.370705860978134,115423.92710538814,type-II
S3,FULL,1.0,-4.0,2.0,64.18695334384432,877598.6359629605,type-II
S3,FULL,1.0,-4.0,3.0,96.12483771485583,2933416.6698080855,type-II
S3,FULL,1.0,-4.0,4.0,128.0936817068164,6929681.563897882,type-II
S3,FULL,1.0,-4.0,5.0,160.0749648432052,13513205.50977879,type-II
S3,FULL,1.0,-3.0,0.0,3.0000009997724213,353.52923622669783,type-II
S3,FULL,1.0,-3.0,1.0,28.31782220484543,77219.99826065505,type-II
S3,FULL,1.0,-3.0,2.0,56.160256589459664,587714.4600930806,type-II
S3,FULL,1.0,-3.0,3.0,84.107005016699,1964848.4937831638,type-II
S3,FULL,1.0,-3.0,4.0,112.08029958918964,4641930.227177125,type-II
S3,FULL,1.0,-3.0,5.0,140.06425612796818,9052273.355781415,type-II
S3,FULL,1.0,-2.0,0.0,,,type-III
S3,FULL,1.0,-2.0,1.0,23.999999873477915,45479.11339974893,type-II
S3,FULL,1.0,-2.0,2.0,48.000000657791226,363833.0492742366,type-II
S3,FULL,1.0,-2.0,3.0,71.99999963070427,1227936.6301113614,type-II
S3,FULL,1.0,-2.0,4.0,96.00000005409356,2910664.678392442,type-II
S3,FULL,1.0,-2.0,5.0,120.00000153830729,5684892.0165987965,type-II
S3,FULL,1.0,-1.0,0.0,,,type-III
S3,FULL,1.0,-1.0,1.0,19.219544654430265,20623.00490027706,type-I
S3,FULL,1.0,-1.0,2.0,39.62141759046251,198766.82516070514,type-I
S3,FULL,1.0,-1.0,3.0,59.748948149257025,692886.2450995882,type-I
S3,FULL,1.0,-1.0,4.0,79.8120593242968,1660756.117608896,type-I
S3,FULL,1.0,-1.0,5.0,99.8497743697907,3260284.411551668,type-I
S3,FULL,1.0,0.0,0.0,,,type-III
S3,FULL,1.0,0.0,1.0,13.291503144957513,3899.215370953749,type-I
S3,FULL,1.0,0.0,2.0,30.832396999922594,85879.4343673462,type-I
S3,FULL,1.0,0.0,3.0,47.237901593762615,330000.1248930448,type-I
S3,FULL,1.0,0.0,4.0,63.432467264756376,817148.1441723467,type-I
S3,FULL,1.0,0.0,5.0,79.5474405536173,1627731.0825536016,type-I
S3,FULL,1.0,1.0,0.0,,,type-III
S3,FULL,1.0,1.0,1.0,,,type-III
S3,FULL,1.0,1.0,2.0,20.999998557361817,19184.90783548279,type-I
S3,FULL,1.0,1.0,3.0,34.15549444494723,110890.6230945171,type-I
S3,FULL,1.0,1.0,4.0,46.64950202380658,305773.0321280861,type-I
